,MAE score P1,MAE score P2,loss,learning_rate,batch_size,hidden_sizes,epochs,activation,optimizer,early stopping,dropout,momentum,weight_decay
0,2.344564788746384,2.494850842457897,1.4604580874712962,0.01,128,"[200, 50]",30,relu,sgd,False,0.4,0.5,0.001
1,2.384341442360068,2.466935843791602,1.3625366923944005,0.01,128,[250],30,tanh,sgd,True,0.2,0.1,0.0001
2,2.360066138781034,2.5852448298380923,1.615824098856944,0.01,256,[100],30,relu,sgd,False,0.4,0.9,0.01
3,2.397733539905188,2.510638147030237,1.4408635103477625,0.01,128,"[200, 50]",30,sigmoid,sgd,True,0.2,0.9,0.001
4,2.3653900510859938,2.4651684738555044,1.3862778566918283,0.01,128,[100],30,tanh,sgd,True,0.4,0.5,0.0001
5,2.3153566122055054,2.4596910161792107,1.343699446264303,0.01,128,"[300, 100]",30,relu,sgd,True,0.3,0.9,0.0001
6,2.3834546437630286,2.7279342137850247,1.548772672437272,0.01,256,[250],30,tanh,sgd,False,0.2,0.1,0.0001
7,2.4340898597015523,2.476808660435226,2.0772467650158304,0.01,64,"[200, 50]",30,sigmoid,sgd,False,0.4,0.5,0.01
8,2.4093984273763804,2.586836603971628,1.4538172258521027,0.01,256,[250],30,sigmoid,sgd,False,0.2,0.1,0.001
9,2.388617992401123,2.4429386212275577,1.5386135308247693,0.01,256,[300],30,tanh,sgd,False,0.2,0.1,0.001
10,2.3915549584154814,2.496445788527435,1.433221381790233,0.01,128,"[250, 50]",30,sigmoid,sgd,True,0.3,0.9,0.0001
11,2.404568888106436,2.513437752453786,1.382642906791759,0.01,128,[250],30,sigmoid,sgd,True,0.3,0.5,0.001
12,2.341803651589614,2.487828951615554,1.375861201646193,0.01,256,[300],30,relu,sgd,True,0.2,0.9,0.001
13,2.3888024429105363,2.524260385981146,1.4231138622985695,0.01,128,[250],30,relu,sgd,True,0.4,0.1,0.0001
14,2.3695439437650285,2.488746800512638,1.4929088230402965,0.01,128,"[200, 50]",30,tanh,sgd,False,0.3,0.1,0.0001
15,2.381477310972394,2.475704903872508,1.419255889811606,0.01,128,[100],30,sigmoid,sgd,True,0.4,0.5,0.0001
16,2.3670260636311657,2.4778412378059245,1.38339918964314,0.01,128,[300],30,tanh,sgd,True,0.2,0.5,0.001
17,2.373870033484238,2.4655363192925086,1.3090204652750268,0.01,256,[100],30,tanh,sgd,True,0.4,0.9,0.0001
18,2.3349620306266927,2.508695728373977,1.3618989508107024,0.01,128,"[300, 100]",30,tanh,sgd,True,0.2,0.9,0.001
19,2.3947132533451296,2.516006631671258,1.3939450113278515,0.01,128,"[300, 100]",30,sigmoid,sgd,True,0.3,0.9,0.0001
20,2.4130532924945536,2.4641486406326294,1.421200250679592,0.01,256,[300],30,sigmoid,sgd,True,0.2,0.5,0.01
