,MAE score P1,MAE score P2,loss,learning_rate,batch_size,hidden_sizes,epochs,activation,optimizer,early stopping,dropout,momentum,weight_decay
0,2.4239624243862226,2.5348766412375108,1.468709324447202,0.002575,64,[250],30,sigmoid,sgd,False,0.4,0.5,0.0001
1,2.3305634957439496,2.5172172897266893,1.4496556839472812,0.002575,64,"[200, 50]",30,relu,sgd,False,0.4,0.9,0.0001
2,2.3852682338570648,2.4589846898924628,1.6332441883267097,0.002575,128,[100],30,relu,sgd,False,0.3,0.5,0.001
3,2.3888049710471675,2.4652425568058804,1.5644217287430742,0.002575,64,[250],30,tanh,sgd,False,0.4,0.5,0.01
4,2.3969263490640893,2.4857079712849743,1.714220275294106,0.002575,128,"[300, 100]",30,tanh,sgd,False,0.3,0.5,0.0001
5,2.3788789578203886,2.494222782692819,1.5876996321297587,0.002575,64,"[200, 50]",30,tanh,sgd,False,0.3,0.5,0.0001
6,2.413978113318389,2.451601460294904,1.883245473762728,0.002575,128,"[250, 50]",30,tanh,sgd,False,0.2,0.1,0.01
7,2.364897869667917,2.4728329181671143,1.585696712346144,0.002575,64,[100],30,relu,sgd,False,0.2,0.1,0.001
8,2.318077097523888,2.441982274910189,1.402563667633164,0.002575,64,"[300, 100]",30,relu,sgd,True,0.3,0.9,0.0001
9,2.3439469607371204,2.4881982893314003,1.569394920232161,0.002575,128,"[300, 100]",30,relu,sgd,False,0.4,0.9,0.01
10,2.403519758638346,2.4777057834391325,1.761218161090439,0.002575,64,"[250, 50]",30,tanh,sgd,False,0.3,0.1,0.001
11,2.325191033336352,2.5073808251686818,1.3811758583140483,0.002575,64,"[250, 50]",30,relu,sgd,True,0.2,0.9,0.0001
12,2.434444193570119,2.5803100253051183,1.9924610369610336,0.002575,128,"[300, 100]",30,sigmoid,sgd,False,0.3,0.1,0.0001
13,2.487183588855672,2.5329857367389605,2.332396696198661,0.002575,128,"[250, 50]",30,relu,sgd,False,0.4,0.1,0.0001
14,2.393219461980856,2.4397867220752643,1.5964678852063303,0.002575,128,[100],30,sigmoid,sgd,False,0.3,0.5,0.001
15,2.365320529577867,2.4967997074127197,1.390643059082751,0.002575,128,[300],30,relu,sgd,True,0.4,0.9,0.001
