,MAE score P1,MAE score P2,loss,learning_rate,batch_size,hidden_sizes,epochs,activation,optimizer,early stopping,dropout,momentum,weight_decay
0,6.209711529279539,4.94140069585451,5.059264535926265,0.0001,32,"[200, 50]",30,relu,sgd,True,0.2,0.1,0.0001
1,2.4258574348575666,2.420579579641234,2.2557432612343016,0.0001,64,[100],30,tanh,sgd,False,0.4,0.9,0.001
2,8.959480784974009,5.619171707135327,6.783961146090512,0.0001,64,[300],30,tanh,sgd,False,0.3,0.1,0.01
3,2.424156626440444,2.7217004434117733,2.106514920091405,0.0001,64,[250],30,tanh,sgd,False,0.3,0.9,0.01
4,2.50721043879997,2.5067762477856848,1.7962293954308752,0.0001,32,[250],30,relu,sgd,False,0.3,0.9,0.01
5,2.534512564821063,2.4567582281130664,2.432189273162627,0.0001,64,[300],30,sigmoid,sgd,False,0.2,0.1,0.01
6,2.452004026691869,2.431387686504508,2.0763705000631125,0.0001,64,"[300, 100]",30,relu,sgd,False,0.2,0.9,0.01
7,2.5091705708436565,2.5058924955941144,2.641418816613369,0.0001,32,"[200, 50]",30,sigmoid,sgd,False,0.4,0.1,0.0001
8,2.4790884441053365,2.452972122201337,2.435623304626143,0.0001,32,[250],30,sigmoid,sgd,False,0.4,0.1,0.001
9,2.42507716971384,2.4311128199939995,1.9004009749906128,0.0001,32,"[300, 100]",30,tanh,sgd,False,0.2,0.9,0.01
10,2.4317027688586097,2.460007558406238,2.0419420333321816,0.0001,32,"[200, 50]",30,tanh,sgd,False,0.3,0.9,0.0001
11,4.548860657889888,3.9932453789800966,3.6462607540435075,0.0001,64,[250],30,relu,sgd,True,0.4,0.1,0.001
