,MAE score P1,MAE score P2,loss,learning_rate,batch_size,hidden_sizes,epochs,activation,optimizer,early stopping,dropout,momentum,weight_decay
0,2.3389145044180064,2.4827998601473293,1.4169450188582795,0.002575,256,"[300, 100]",30,relu,sgd,True,0.2,0.9,0.001
1,2.6444552494929385,2.4113326989687405,2.283135744241568,0.002575,512,[300],30,relu,sgd,False,0.4,0.1,0.01
2,2.491760226396414,2.4016650915145874,2.104136975306385,0.002575,256,[100],30,tanh,sgd,False,0.2,0.1,0.001
3,2.598304372567397,2.397151286785419,2.2051688297739567,0.002575,256,"[250, 50]",30,tanh,sgd,False,0.2,0.1,0.01
4,2.336857309881246,2.544980427004256,1.584162910029573,0.002575,128,"[200, 50]",30,relu,sgd,False,0.3,0.9,0.01
5,2.3929254091702976,2.4591449224031887,1.4256620407104492,0.002575,512,[100],30,relu,sgd,True,0.2,0.9,0.001
6,2.384874514813693,2.4482710316496075,1.6444769108070518,0.002575,128,"[200, 50]",30,tanh,sgd,False,0.2,0.5,0.001
7,2.4018591867302947,2.4609847968479373,1.80009075155798,0.002575,128,"[250, 50]",30,sigmoid,sgd,False,0.3,0.9,0.01
8,2.539413021161006,2.5789913947765646,1.6350875575587434,0.002575,256,[300],30,relu,sgd,False,0.2,0.5,0.01
9,2.4383400678634644,2.548172483077416,1.829800072705971,0.002575,256,[250],30,tanh,sgd,False,0.2,0.5,0.0001
10,2.407605996498695,2.455798625946045,1.4497652924977815,0.002575,512,[300],30,sigmoid,sgd,False,0.4,0.9,0.01
11,2.437650653032156,2.433039215894846,2.2359502450475155,0.002575,256,[250],30,sigmoid,sgd,False,0.4,0.1,0.01
12,2.4047305492254405,2.4261010885238647,1.7780567362623394,0.002575,256,"[200, 50]",30,sigmoid,sgd,False,0.4,0.9,0.01
13,2.37520694732666,2.469561320084792,1.4591865768799417,0.002575,512,[300],30,tanh,sgd,False,0.3,0.9,0.01
14,2.348502370027396,2.442835706930894,1.529355858856777,0.002575,256,"[250, 50]",30,relu,sgd,False,0.3,0.9,0.01
15,2.429964670768151,2.451881482050969,2.190468432768336,0.002575,256,"[200, 50]",30,relu,sgd,False,0.3,0.5,0.0001
16,2.424962227161114,2.577117580633897,2.074499912981717,0.002575,256,"[250, 50]",30,sigmoid,sgd,False,0.3,0.5,0.01
17,2.4798080187577467,2.4884635851933408,1.4659582376480105,0.002575,512,[250],30,relu,sgd,False,0.4,0.9,0.01
18,2.374845623970032,2.4688345927458544,1.375408725918464,0.002575,256,[300],30,tanh,sgd,True,0.3,0.9,0.001
19,2.564242344636184,2.6598746318083544,1.8170459382938888,0.002575,256,[250],30,relu,sgd,False,0.4,0.5,0.001
20,2.4470580632870016,2.4566671481499305,2.194750385464362,0.002575,256,"[200, 50]",30,tanh,sgd,False,0.4,0.5,0.0001
21,2.444206164433406,2.598221412071815,2.30855198176402,0.002575,256,"[300, 100]",30,sigmoid,sgd,False,0.3,0.1,0.0001
22,2.4569419347322903,2.4052957754868727,2.35312348145705,0.002575,512,[250],30,sigmoid,sgd,False,0.3,0.1,0.001
