,MAE score P1,MAE score P2,loss,learning_rate,batch_size,hidden_sizes,epochs,activation,optimizer,early stopping,dropout,momentum,weight_decay
0,2.41619902961659,2.5350167166511968,1.7893330027472298,0.00505,128,"[300, 100]",30,tanh,sgd,False,0.4,0.1,0.001
1,2.394154750383817,2.4630018380972056,1.4324004787665148,0.00505,512,[300],30,relu,sgd,True,0.4,0.9,0.01
2,2.4285195882503805,2.4500131056858945,1.799329732948879,0.00505,256,[250],30,sigmoid,sgd,False,0.2,0.1,0.0001
3,2.338892780817472,2.46600432579334,1.7081554340866376,0.00505,256,"[200, 50]",30,relu,sgd,False,0.2,0.5,0.001
4,2.416669176175044,2.412656536469093,1.974043479505575,0.00505,256,"[250, 50]",30,tanh,sgd,False,0.3,0.1,0.01
5,2.3812716592032954,2.44965831738598,1.4439285926099092,0.00505,128,"[200, 50]",30,tanh,sgd,False,0.2,0.5,0.0001
6,2.323370254956759,2.470776475392855,1.320822463845307,0.00505,256,[100],30,relu,sgd,True,0.2,0.9,0.001
7,2.3886892061967115,2.4534919995528,1.6333522639184628,0.00505,256,"[250, 50]",30,tanh,sgd,False,0.2,0.5,0.001
8,2.374831667313209,2.481908596478976,1.6268749709399242,0.00505,256,[300],30,tanh,sgd,False,0.4,0.5,0.01
9,2.3416700678051643,2.442547546242768,1.6347892711747367,0.00505,128,"[200, 50]",30,relu,sgd,False,0.2,0.1,0.01
10,2.4076146539652123,2.6339414884459296,1.7598523700012352,0.00505,128,"[250, 50]",30,sigmoid,sgd,False,0.3,0.1,0.01
11,2.3945976923096857,2.516062682529665,1.6563787370357874,0.00505,128,"[200, 50]",30,tanh,sgd,False,0.2,0.9,0.01
12,2.3924725280617767,2.4950385588519977,1.4001265629282538,0.00505,128,"[300, 100]",30,sigmoid,sgd,True,0.2,0.9,0.001
13,2.4006086205536463,2.502355256170597,1.6002090494587735,0.00505,128,"[200, 50]",30,sigmoid,sgd,False,0.3,0.5,0.0001
14,2.4151849196507382,2.539873141508836,1.470198541317346,0.00505,256,[300],30,sigmoid,sgd,False,0.2,0.5,0.0001
15,2.405573707360488,2.412838028027461,1.971633938123595,0.00505,256,[100],30,tanh,sgd,False,0.4,0.1,0.001
16,2.3916035890579224,2.486637830734253,1.3980947530494543,0.00505,256,[250],30,tanh,sgd,True,0.3,0.9,0.01
17,2.4003008053852963,2.609217111880963,1.4413268071300578,0.00505,256,"[300, 100]",30,sigmoid,sgd,True,0.3,0.9,0.001
18,2.3799170897557187,2.4662899329112125,1.446405475994326,0.00505,256,"[300, 100]",30,tanh,sgd,True,0.2,0.9,0.01
19,2.393018520795382,2.447890859383804,1.5719550128253,0.00505,256,[100],30,sigmoid,sgd,False,0.4,0.9,0.01
20,2.391831535559434,2.506962849543645,1.6214812071818223,0.00505,256,[300],30,tanh,sgd,False,0.3,0.5,0.001
21,2.357035324258624,2.4514560069677964,1.6346934921336624,0.005050000000000001,128,"[200, 50]",30,relu,sgd,False,0.3,0.5,0.01
