,MAE score P1,MAE score P2,loss,learning_rate,batch_size,hidden_sizes,epochs,activation,optimizer,early stopping,dropout,momentum,weight_decay
0,3.891088962554932,4.038531450124888,3.1256986397963304,0.00505,512,"[250, 50]",30,relu,sgd,True,0.3,0.1,0.01
1,2.4523246104900656,2.456200489631066,1.7032196934406574,0.00505,512,[100],30,relu,sgd,False,0.2,0.5,0.01
2,2.397514031483577,2.561865678200355,1.4880378383856554,0.00505,512,"[250, 50]",30,sigmoid,sgd,False,0.3,0.9,0.0001
3,2.418799822147076,2.509798416724572,1.8645652119929967,0.00505,512,[300],30,sigmoid,sgd,False,0.2,0.5,0.001
4,2.392773728975108,2.459446814138565,1.4897315764594692,0.007525,32,[250],30,sigmoid,sgd,False,0.4,0.5,0.0001
5,2.427636531683115,2.406399928606473,2.268773418206435,0.00505,512,"[200, 50]",30,relu,sgd,False,0.2,0.1,0.01
6,2.424937233678612,2.574536711956973,1.6992202014498743,0.007525,32,[300],30,tanh,sgd,False,0.3,0.9,0.001
7,2.4248658116434663,2.49408413490779,1.4866828474562956,0.007525,32,"[300, 100]",30,tanh,sgd,False,0.2,0.5,0.0001
8,2.516368499168983,2.509085838611309,2.377283114653367,0.00505,512,"[200, 50]",30,relu,sgd,False,0.4,0.5,0.001
9,2.4558919209700365,2.7496474339411807,2.080763362921201,0.00505,512,[300],30,tanh,sgd,False,0.2,0.1,0.01
10,2.5057779035657783,2.4642022741792347,2.536032244807384,0.007525,32,[250],30,sigmoid,sgd,False,0.4,0.9,0.01
11,2.339804539313683,2.4856041027949405,1.4111778048368602,0.00505,512,"[250, 50]",30,relu,sgd,True,0.2,0.9,0.01
12,2.374313688613999,2.466338382640355,1.9749922406198828,0.007525,32,"[300, 100]",30,relu,sgd,False,0.4,0.5,0.01
13,2.4115794621981106,2.434041243333083,2.010633496137766,0.00505,512,[100],30,tanh,sgd,False,0.4,0.5,0.0001
14,2.3972399418170633,2.491334218245286,1.4538711538681617,0.005050000000000001,512,[100],30,sigmoid,sgd,True,0.3,0.9,0.01
