,MAE score P1,MAE score P2,loss,learning_rate,batch_size,hidden_sizes,epochs,activation,optimizer,early stopping,dropout,momentum,weight_decay
0,3.3914407661982944,2.397217920848301,2.231784491311936,0.00505,512,[100],30,tanh,sgd,False,0.3,0.1,0.01
1,2.3703955241612027,2.489573035921369,2.106729876427424,0.00505,512,"[250, 50]",30,tanh,sgd,False,0.3,0.5,0.0001
2,2.33917786589766,2.468402773933073,1.4371370717135854,0.007525,32,[300],30,sigmoid,sgd,True,0.2,0.1,0.0001
3,2.3364866602737293,2.555844083296514,1.4495627018554371,0.007525,32,[100],30,sigmoid,sgd,True,0.3,0.5,0.0001
4,2.3148699682370752,2.5267164654436365,1.587749502300161,0.007525,32,[250],30,relu,sgd,False,0.2,0.9,0.001
5,2.288166322539338,2.4872899751747606,1.7158947669650952,0.007525,32,[100],30,relu,sgd,False,0.4,0.1,0.01
6,2.373833724430629,2.456736360277449,1.950855084827968,0.00505,512,[100],30,relu,sgd,False,0.4,0.5,0.0001
7,2.286415376494416,2.473874042519426,1.4563287051729747,0.007525000000000001,32,[250],30,relu,sgd,False,0.3,0.5,0.001
