,MAE score P1,MAE score P2,loss,learning_rate,batch_size,hidden_sizes,epochs,activation,optimizer,early stopping,dropout,momentum,weight_decay
0,2.326571771076748,2.472430774143764,1.396916613692329,0.01,256,[250],30,sigmoid,sgd,True,0.3,0.5,0.001
1,2.340526270014899,2.585824966430664,1.378292251200903,0.01,128,"[300, 100]",30,relu,sgd,True,0.2,0.5,0.0001
2,2.2823092256273543,2.517828643321991,1.3676752831254686,0.01,128,[250],30,relu,sgd,True,0.4,0.9,0.001
3,2.3401086245264326,2.501653713839395,1.4113905075050537,0.01,128,"[300, 100]",30,sigmoid,sgd,True,0.4,0.9,0.001
4,2.332067149026053,2.501523051943098,1.41965746595746,0.01,256,[300],30,tanh,sgd,True,0.3,0.9,0.01
5,2.323388057095664,2.519312117780958,1.4202449364321572,0.01,128,"[250, 50]",30,sigmoid,sgd,True,0.3,0.9,0.001
6,2.3229729618344988,2.518939963408879,1.4091984232266743,0.01,128,[250],30,sigmoid,sgd,True,0.3,0.9,0.001
7,2.328452851091112,2.5122998441968645,1.4283782002471743,0.01,128,"[200, 50]",30,tanh,sgd,False,0.2,0.1,0.0001
8,2.345888621040753,2.3882962188550403,2.226524752978037,0.01,64,"[200, 50]",30,tanh,sgd,False,0.2,0.9,0.01
9,2.3053986770766124,2.5550832407815114,1.4072265256018863,0.01,128,"[250, 50]",30,relu,sgd,True,0.3,0.9,0.001
10,2.332480932985033,2.5159869364329746,1.3868716117881594,0.01,128,"[300, 100]",30,tanh,sgd,True,0.2,0.5,0.001
11,2.3245278085981096,2.583204346043723,1.559651682774226,0.01,128,"[200, 50]",30,sigmoid,sgd,False,0.4,0.5,0.001
12,2.4565723964146207,2.584397384098598,1.463732239745912,0.01,256,[250],30,relu,sgd,True,0.2,0.1,0.0001
13,2.326113130365099,2.461441440241677,1.4245469981715793,0.01,128,"[250, 50]",30,tanh,sgd,True,0.2,0.1,0.01
14,2.2857485839298795,2.5921722991125926,1.3581201292219616,0.01,256,[300],30,relu,sgd,True,0.4,0.9,0.001
15,2.3296949011938914,2.500680906432016,1.4361462394396465,0.01,256,[300],30,sigmoid,sgd,True,0.4,0.5,0.001
16,2.349543980189732,2.5287246108055115,1.7527902594634466,0.01,128,[100],30,tanh,sgd,False,0.4,0.9,0.01
17,2.286899353776659,2.4733886548451016,1.385433825708571,0.01,128,[100],30,relu,sgd,True,0.4,0.5,0.0001
18,2.3309909190450395,2.522707547460284,1.3910734539940244,0.01,128,[300],30,tanh,sgd,True,0.2,0.5,0.01
19,2.3236646141324724,2.481454142502376,1.402203205085936,0.01,128,[100],30,sigmoid,sgd,True,0.3,0.1,0.001
20,2.317952036857605,2.4647296326501027,1.4358665602547782,0.01,256,[100],30,relu,sgd,False,0.2,0.1,0.01
21,2.434988805225917,2.5692528315952847,1.411428038563047,0.01,128,[300],30,relu,sgd,True,0.3,0.1,0.001
22,2.401330828666687,2.4513025326388225,2.4576011141376384,0.01,64,"[200, 50]",30,sigmoid,sgd,False,0.4,0.9,0.01
23,2.331392620291029,2.5371236971446445,1.3546618521213531,0.01,128,[250],30,tanh,sgd,True,0.2,0.9,0.0001
24,2.367539473942348,2.4813553265162875,1.5490370108967737,0.01,256,[100],30,tanh,sgd,False,0.2,0.1,0.0001
25,2.3013683472360884,2.480939941746848,1.4082023529779344,0.01,128,"[200, 50]",30,relu,sgd,True,0.3,0.9,0.0001
26,2.3179767727851868,2.522053965500423,1.394195880208697,0.01,128,[300],30,sigmoid,sgd,True,0.4,0.9,0.001
27,2.33100380216326,2.509992378098624,1.3708814950216384,0.01,256,[250],30,tanh,sgd,True,0.4,0.9,0.001
28,2.3023761936596463,2.457402784909521,1.6333997552916848,0.01,64,"[200, 50]",30,relu,sgd,False,0.3,0.5,0.01
