,MAE score P1,MAE score P2,loss,learning_rate,batch_size,hidden_sizes,epochs,activation,optimizer,early stopping,dropout,momentum,weight_decay
0,2.333538770675659,2.4794249534606934,1.6239337580544608,0.007525,512,[250],30,sigmoid,sgd,False,0.2,0.5,0.001
1,2.3324121066502164,2.491740209715707,1.4277078878311884,0.007525,256,"[250, 50]",30,sigmoid,sgd,True,0.4,0.9,0.0001
2,2.4130281720842635,2.512584822518485,2.419717028027489,0.007525,512,"[200, 50]",30,tanh,sgd,False,0.4,0.1,0.0001
3,2.330123577799116,2.47043890612466,1.4217908325649442,0.007525,256,"[200, 50]",30,sigmoid,sgd,False,0.4,0.9,0.001
4,2.355430909565517,2.5868620531899587,2.2425644738333568,0.007525,512,"[250, 50]",30,sigmoid,sgd,False,0.3,0.1,0.0001
5,2.32733382497515,2.504424469811576,1.374613228298369,0.007525,512,"[300, 100]",30,relu,sgd,True,0.2,0.9,0.001
6,2.3224201940857205,2.503574204655876,1.4741932069305823,0.01,32,[250],30,sigmoid,sgd,True,0.3,0.1,0.001
7,2.332103422709874,2.537778445652553,1.413802243414379,0.007525,512,"[200, 50]",30,sigmoid,sgd,True,0.2,0.9,0.0001
8,2.355654784611293,2.6301794733319963,2.1745798587799072,0.007525,512,"[300, 100]",30,sigmoid,sgd,False,0.3,0.1,0.0001
9,2.3825208800179616,2.5984529427119663,1.9752166668574016,0.007525,512,"[200, 50]",30,relu,sgd,False,0.3,0.5,0.0001
10,2.3376899106161937,2.556304352624076,1.8014679636274065,0.007525,512,"[300, 100]",30,sigmoid,sgd,False,0.3,0.5,0.0001
11,2.3312938724245345,2.529443655695234,1.6728903537704831,0.007525,256,"[200, 50]",30,relu,sgd,False,0.3,0.5,0.0001
12,2.4140190056392123,2.5389857632773265,2.01449491864159,0.007525,512,"[300, 100]",30,relu,sgd,False,0.2,0.1,0.001
13,2.337765625544957,2.6250806025096347,1.721767368770781,0.007525,256,"[250, 50]",30,sigmoid,sgd,False,0.2,0.1,0.0001
14,2.335908549172537,2.5252699170793806,1.637581711723691,0.007525,512,[300],30,sigmoid,sgd,False,0.2,0.5,0.0001
15,2.381893345287868,2.5089925868170604,2.1121838575317744,0.007525,256,"[200, 50]",30,relu,sgd,False,0.4,0.1,0.001
16,2.307877713600091,2.535610324513596,1.6481592894303765,0.01,32,[300],30,relu,sgd,False,0.2,0.1,0.01
17,2.3479748453412737,2.5668136051722934,2.0868215277081443,0.007525,512,"[250, 50]",30,sigmoid,sgd,False,0.4,0.5,0.0001
18,2.3647497722080777,2.4740504877907887,1.7860614515486215,0.007525,512,[100],30,relu,sgd,False,0.4,0.5,0.0001
19,2.334268518856593,2.572387303624834,1.590427889710381,0.007525,256,"[200, 50]",30,tanh,sgd,False,0.3,0.5,0.0001
20,2.3319956234523227,2.5795323848724365,1.4250872418993996,0.007525,512,"[300, 100]",30,sigmoid,sgd,True,0.3,0.9,0.0001
21,2.3418971470424106,2.539642197745187,1.9939873218536377,0.007525,512,"[250, 50]",30,tanh,sgd,False,0.4,0.5,0.0001
22,2.36424207687378,2.4923034395490373,2.268865267435709,0.007525,512,"[300, 100]",30,tanh,sgd,False,0.4,0.1,0.01
23,2.387053183146885,2.607498679842268,2.0331801686968123,0.007525,512,[250],30,tanh,sgd,False,0.3,0.1,0.001
24,2.5144463735344136,2.4340286033343426,2.437868822289076,0.01,32,[250],30,relu,sgd,False,0.3,0.9,0.01
25,2.3275540556226457,2.467129230499268,1.3549250194004605,0.007525,512,[100],30,sigmoid,sgd,True,0.2,0.9,0.01
26,2.3326953786664304,2.525589145390333,1.7901087841101453,0.01,32,[300],30,sigmoid,sgd,False,0.2,0.9,0.001
27,2.47762029511588,2.7014477252960205,1.6012436889466786,0.007525,512,[300],30,relu,sgd,True,0.4,0.5,0.0001
28,2.3921712457606223,2.4999847475406343,1.4093281566920886,0.01,32,[250],30,tanh,sgd,True,0.3,0.5,0.0001
29,2.425630603517805,2.455291816166469,2.277726582118443,0.007525,512,"[200, 50]",30,relu,sgd,False,0.3,0.1,0.01
30,2.3072209528514316,2.5172786712646484,1.5435079449699038,0.007525000000000001,256,"[200, 50]",30,relu,sgd,False,0.4,0.9,0.01
