,MAE score P1,MAE score P2,loss,learning_rate,batch_size,hidden_sizes,epochs,activation,optimizer,early stopping,dropout,momentum,weight_decay
0,7.487344196864536,4.1986633368900845,4.298546240443275,0.0001,128,"[250, 50]",30,sigmoid,sgd,False,0.3,0.1,0.01
1,2.780159090246473,2.417843922972679,2.6042244377926256,0.0001,64,"[300, 100]",30,sigmoid,sgd,False,0.4,0.1,0.0001
2,2.722933386053358,2.5094917672021047,2.4745346506436667,0.0001,128,[300],30,relu,sgd,False,0.4,0.5,0.001
3,2.3732270087514604,2.497035047837666,2.3240936811153707,0.0001,64,"[300, 100]",30,tanh,sgd,False,0.3,0.9,0.0001
4,5.799782378332956,2.736905378954752,3.094648857911428,0.0001,128,"[250, 50]",30,tanh,sgd,False,0.4,0.9,0.01
5,10.313859019960676,9.259798969541276,9.577276263918195,0.0001,128,[300],30,tanh,sgd,False,0.4,0.1,0.01
6,10.34498916353498,9.27405309677124,9.59510276431129,0.0001,256,[300],30,tanh,sgd,False,0.2,0.5,0.001
7,9.926653623580933,8.873422818524498,9.252914598002237,0.0001,64,"[250, 50]",30,tanh,sgd,False,0.3,0.1,0.0001
8,10.127862402370996,9.182383452142988,9.440258641214765,0.0001,64,"[200, 50]",30,tanh,sgd,False,0.3,0.1,0.001
9,4.000293484755924,2.482127519590514,2.761626861504549,0.0001,64,"[250, 50]",30,sigmoid,sgd,False,0.4,0.1,0.0001
10,2.3562103595052446,2.479962408542633,2.3744263691561565,0.0001,128,[100],30,sigmoid,sgd,False,0.4,0.9,0.0001
11,2.423249925885881,2.377274666513716,2.3587114810943604,0.0001,256,[300],30,sigmoid,sgd,False,0.2,0.9,0.0001
12,9.825995002474103,7.511371425219944,7.976609434400286,0.0001,128,[250],30,tanh,sgd,False,0.2,0.5,0.0001
13,4.325442501476833,2.829568130629404,2.6954902438890365,0.0001,128,[100],30,relu,sgd,False,0.4,0.5,0.01
14,6.278338210923331,2.751384343419756,3.0433964360327947,0.0001,128,"[200, 50]",30,tanh,sgd,False,0.4,0.9,0.01
15,2.409154900482722,2.574856460094452,2.4246280250095187,0.0001,128,"[200, 50]",30,relu,sgd,False,0.2,0.9,0.0001
16,10.450863429478236,10.04327154159546,10.201185078847976,0.0001,128,"[300, 100]",30,tanh,sgd,False,0.4,0.1,0.001
17,9.938068662370954,8.253225479807172,8.626815188498725,0.0001,128,[100],30,tanh,sgd,False,0.3,0.5,0.001
18,7.137886711529323,6.979154757090977,6.090403034842226,0.0001,64,"[200, 50]",30,relu,sgd,True,0.2,0.1,0.001
19,2.670325142996652,2.4336648668561662,2.493093663737888,0.0001,128,[300],30,sigmoid,sgd,False,0.3,0.1,0.01
20,2.6270645345960344,2.439824734415327,2.479218568120684,0.0001,128,[250],30,sigmoid,sgd,False,0.2,0.1,0.001
21,2.392504555838449,2.5369447469711304,2.397712920393263,0.0001,128,"[300, 100]",30,sigmoid,sgd,False,0.3,0.9,0.001
22,5.837413430213928,3.870939118521554,4.16459869486945,0.0001,128,"[250, 50]",30,relu,sgd,True,0.4,0.9,0.0001
23,6.771206089428493,2.572642113481249,2.9119366160511264,0.0001,64,"[250, 50]",30,relu,sgd,False,0.2,0.1,0.0001
24,2.384415666971888,2.7288392654487064,2.4531707862425134,0.0001,64,"[200, 50]",30,sigmoid,sgd,False,0.4,0.9,0.001
25,2.5679926531655446,2.538934792791094,2.27155141603379,0.0001,256,[300],30,relu,sgd,False,0.2,0.9,0.01
26,4.31553145817348,2.8710666554314748,3.0959037769408453,0.0001,128,"[300, 100]",30,relu,sgd,True,0.3,0.9,0.0001
27,3.798631719180516,2.5277224693979536,2.508894900480906,0.0001,128,[250],30,relu,sgd,False,0.3,0.1,0.001
28,2.3971544929913113,2.515297157423837,2.467334650811695,0.0001,128,"[200, 50]",30,sigmoid,sgd,False,0.3,0.9,0.01
