,MAE score P1,MAE score P2,loss,learning_rate,batch_size,hidden_sizes,epochs,activation,optimizer,early stopping,dropout,momentum,weight_decay
0,2.3426643077816283,2.530606836080551,1.9515122189324283,0.002575,64,"[250, 50]",30,sigmoid,sgd,False,0.4,0.1,0.01
1,2.3114981779030392,2.4458174960953847,1.5233195660382333,0.002575,64,[100],30,relu,sgd,False,0.3,0.5,0.0001
2,2.4399724262101308,2.6529553958347867,1.5380932149432955,0.002575,128,[250],30,relu,sgd,True,0.2,0.5,0.001
3,2.31331351186548,2.5122190288134982,1.405233866364293,0.002575,64,"[300, 100]",30,relu,sgd,True,0.3,0.9,0.001
4,2.3776828902108327,2.505790489060538,2.010745170570555,0.002575,128,"[300, 100]",30,tanh,sgd,False,0.3,0.1,0.01
5,2.3282423870904103,2.478314552988325,1.5859646045026323,0.002575,128,"[300, 100]",30,sigmoid,sgd,False,0.2,0.5,0.01
6,2.360358789563179,2.4754333794116974,1.3868939072422728,0.002575,64,[100],30,tanh,sgd,True,0.4,0.9,0.001
