,MAE score P1,MAE score P2,loss,learning_rate,batch_size,hidden_sizes,epochs,activation,optimizer,early stopping,dropout,momentum,weight_decay
0,2.368193711553301,2.3974788870130266,2.262086204120091,0.002575,256,[300],30,sigmoid,sgd,False,0.4,0.1,0.0001
1,2.338475772312709,2.660521490233285,1.9401067694028216,0.002575,256,"[300, 100]",30,sigmoid,sgd,False,0.2,0.5,0.0001
2,2.3450064148221696,2.390326142311096,1.9217968639873324,0.002575,256,[250],30,sigmoid,sgd,False,0.3,0.5,0.01
3,3.5190359694617137,2.48367817061288,2.397382685116359,0.002575,256,"[300, 100]",30,tanh,sgd,False,0.3,0.1,0.001
4,6.403254985809326,2.7355960437229703,2.809649206343152,0.002575,512,[250],30,tanh,sgd,False,0.2,0.1,0.01
5,2.3417297261101857,2.5569201026644026,1.3689481616020205,0.002575,256,[300],30,tanh,sgd,True,0.2,0.9,0.0001
6,2.348203590938023,2.546966927392142,1.472673779442197,0.002575,512,[300],30,tanh,sgd,False,0.3,0.9,0.001
7,4.399741172790527,3.256973913737706,3.4033037367321195,0.002575,256,"[250, 50]",30,relu,sgd,True,0.4,0.1,0.01
8,2.3264488662992204,2.50877218587058,1.5724338505949291,0.002575,128,"[200, 50]",30,sigmoid,sgd,False,0.2,0.9,0.01
9,2.3113764439310347,2.5155982971191406,1.7370895558879489,0.002575,128,"[200, 50]",30,relu,sgd,False,0.2,0.5,0.001
10,2.565485511507307,2.4292622974940707,2.099920250120617,0.002575,512,[250],30,relu,sgd,False,0.4,0.5,0.01
11,2.419005904878889,2.577931778771537,1.4630777949378604,0.002575,512,[300],30,relu,sgd,True,0.2,0.9,0.0001
12,2.9885820831571306,2.440351639475141,2.216324987865629,0.002575,256,[250],30,tanh,sgd,False,0.3,0.1,0.01
13,2.3660717521395003,2.566973567008972,1.986906111240387,0.002575,256,[100],30,tanh,sgd,False,0.3,0.5,0.0001
14,2.412783179964338,2.337771075112479,2.3551327841622487,0.002575,512,[300],30,sigmoid,sgd,False,0.3,0.1,0.01
15,2.550622309957232,2.4249459164483205,2.0207241631689525,0.002575,256,[300],30,relu,sgd,False,0.3,0.1,0.0001
16,3.9780325378690446,2.982620341437204,2.9336509761356173,0.002575,256,"[300, 100]",30,relu,sgd,True,0.4,0.1,0.001
17,2.3343679223741804,2.479954668453761,1.9709976684479489,0.002575,256,"[200, 50]",30,sigmoid,sgd,False,0.2,0.5,0.01
18,2.324023621422904,2.540173513548715,1.374154967921121,0.002575,256,[100],30,sigmoid,sgd,True,0.3,0.9,0.01
19,2.360234652246748,2.486565096037729,2.398254462650844,0.002575,256,"[250, 50]",30,sigmoid,sgd,False,0.3,0.1,0.0001
20,2.3182755538395474,2.4452515074184964,1.362464007877168,0.002575,128,"[200, 50]",30,tanh,sgd,True,0.2,0.9,0.0001
21,2.495590771947588,2.5350167751312256,1.7002446793374562,0.002575,256,[250],30,relu,sgd,False,0.3,0.5,0.01
22,2.369855386870248,2.5795961959021434,2.017327450570606,0.002575,256,"[200, 50]",30,relu,sgd,False,0.2,0.5,0.0001
23,2.4916588238307407,2.52732801437378,2.2246548448290144,0.002575,512,[100],30,relu,sgd,False,0.2,0.1,0.0001
24,3.2481065818241666,2.48323609147753,2.3018999724161056,0.002575,256,"[250, 50]",30,tanh,sgd,False,0.2,0.1,0.0001
25,2.357337713241577,2.522916282926287,1.9771338275500707,0.002575,256,"[200, 50]",30,tanh,sgd,False,0.2,0.5,0.001
26,2.3022294555391585,2.479413730757577,1.4114828194890705,0.002575,256,[100],30,relu,sgd,True,0.2,0.9,0.001
27,2.336462591375624,2.4746275629316057,1.9363795632407776,0.002575,128,"[250, 50]",30,sigmoid,sgd,False,0.4,0.5,0.01
28,2.333980083465576,2.516035693032401,1.3917468786239624,0.002575,512,[250],30,sigmoid,sgd,True,0.2,0.9,0.01
