,MAE score P1,MAE score P2,loss,learning_rate,batch_size,hidden_sizes,epochs,activation,optimizer,early stopping
0,2.721838042421161,3.9229218307531104,2.392013276686691,5.3105263157894734e-05,64,[1000],10,relu,sgd,True
1,7.544282791749486,4.789955256120214,5.838359382790579,5.3105263157894734e-05,64,[1000],10,tanh,sgd,False
2,2.489285213767358,2.5550509488807536,2.414957518868603,5.3105263157894734e-05,64,[1000],10,sigmoid,sgd,False
3,2.631581538128403,3.8935479982843937,2.4252487353875605,5.3105263157894734e-05,64,[600],10,relu,sgd,True
4,7.337209881476636,4.463522182320649,5.790456572608768,5.3105263157894734e-05,64,[600],10,tanh,sgd,False
5,2.5035609333020337,2.5271447762003483,2.429945640161004,5.3105263157894734e-05,64,[600],10,sigmoid,sgd,False
6,2.733902114742207,2.457189274284075,2.403834626708232,5.3105263157894734e-05,64,"[1000, 500]",10,relu,sgd,False
7,8.00885324658088,5.071050506717754,6.182356438166659,5.3105263157894734e-05,64,"[1000, 500]",10,tanh,sgd,False
8,2.48994580754694,2.55432612153719,2.4327563181729386,5.3105263157894734e-05,64,"[1000, 500]",10,sigmoid,sgd,False
9,2.768134150864943,2.433659084562985,2.42737856101542,5.3105263157894734e-05,64,"[600, 300]",10,relu,sgd,False
10,8.313729358169267,6.476202065089963,6.612413397417382,5.3105263157894734e-05,64,"[600, 300]",10,tanh,sgd,False
11,2.4896246734655127,2.62430783712639,2.439397200172496,5.3105263157894734e-05,64,"[600, 300]",10,sigmoid,sgd,False
12,2.7722576384274467,2.5326405628672184,2.4806137269651387,5.3105263157894734e-05,64,"[1000, 500, 250]",10,relu,sgd,False
13,8.73350792111091,5.637933632112899,6.905844104122108,5.3105263157894734e-05,64,"[1000, 500, 250]",10,tanh,sgd,False
14,2.494906680763892,2.605973427025777,2.450919765821645,5.3105263157894734e-05,64,"[1000, 500, 250]",10,sigmoid,sgd,False
15,2.7616268778746984,2.466616779003503,2.517208431248374,5.3105263157894734e-05,64,"[600, 300, 150]",10,relu,sgd,False
16,9.01670156334931,5.722673492611579,7.1004238218209,5.3105263157894734e-05,64,"[600, 300, 150]",10,tanh,sgd,False
17,2.510546883322158,2.6302015668940992,2.473188842406296,5.3105263157894734e-05,64,"[600, 300, 150]",10,sigmoid,sgd,False
18,3.4426517531556904,2.7315824998999543,2.837330870785064,5.3105263157894734e-05,64,"[1000, 500, 250, 100]",10,relu,sgd,True
19,9.195217906304126,6.037542104721069,7.3743358800109,5.3105263157894734e-05,64,"[1000, 500, 250, 100]",10,tanh,sgd,False
20,2.5041804471105897,2.622506890656813,2.5115581000914595,5.3105263157894734e-05,64,"[1000, 500, 250, 100]",10,sigmoid,sgd,False
21,4.081733422459297,2.8682127538717017,3.353063540839253,5.3105263157894734e-05,64,"[600, 300, 150, 50]",10,relu,sgd,True
22,9.15073675479529,6.19817682932008,7.310409944382072,5.3105263157894734e-05,64,"[600, 300, 150, 50]",10,tanh,sgd,False
23,2.5886346619084195,2.5640065737490385,2.568445665735594,5.3105263157894734e-05,64,"[600, 300, 150, 50]",10,sigmoid,sgd,False
24,4.0679892931344375,3.388792577779518,3.3603537855013994,5.3105263157894734e-05,64,"[1000, 500, 250, 100, 50]",10,relu,sgd,True
25,9.513066525729196,7.469557451751997,7.961180722769437,5.3105263157894734e-05,64,"[1000, 500, 250, 100, 50]",10,tanh,sgd,False
26,2.684216852458018,2.550598346962119,2.6055862332733586,5.3105263157894734e-05,64,"[1000, 500, 250, 100, 50]",10,sigmoid,sgd,False
27,4.86257784321623,2.5815391000711694,2.9658724634860043,5.3105263157894734e-05,64,"[600, 300, 150, 50, 20]",10,relu,sgd,False
28,9.581640504441172,7.665137808277922,7.900413674367985,5.3105263157894734e-05,64,"[600, 300, 150, 50, 20]",10,tanh,sgd,False
29,4.5186215211760326,2.580841458068704,2.8967457914576284,5.3105263157894734e-05,64,"[600, 300, 150, 50, 20]",10,sigmoid,sgd,False
30,6.150063951060457,4.861760494843969,5.030387479934334,5.3105263157894734e-05,64,"[1000, 500, 250, 150, 50, 20]",10,relu,sgd,True
31,9.40142503774391,7.664663224850061,7.870358198461398,5.3105263157894734e-05,64,"[1000, 500, 250, 150, 50, 20]",10,tanh,sgd,False
32,4.580120948125732,2.5955150813426613,2.941380739212036,5.3105263157894734e-05,64,"[1000, 500, 250, 150, 50, 20]",10,sigmoid,sgd,False
33,4.709032216162052,2.5597365172404163,2.9723074626474872,5.3105263157894734e-05,64,"[600, 300, 150, 100, 50, 20]",10,relu,sgd,False
