,MAE score P1,MAE score P2,loss,learning_rate,batch_size,hidden_sizes,epochs,activation,optimizer,early stopping
0,6.385056092188909,3.945073182766254,3.546762567300063,1.6631578947368423e-05,512,[1000],10,relu,sgd,False
1,10.785174443171574,10.614692834707409,10.73114879314716,1.6631578947368423e-05,512,[1000],10,tanh,sgd,False
2,3.072077145943275,2.809927922028762,2.8230115542045007,1.6631578947368423e-05,512,[1000],10,sigmoid,sgd,False
3,7.574971419114333,5.113424998063308,4.506573622043316,1.6631578947368423e-05,512,[600],10,relu,sgd,False
4,10.726836424607496,10.594458359938402,10.72396050966703,1.6631578947368423e-05,512,[600],10,tanh,sgd,False
5,4.7605593754695015,2.91164231300354,2.9416295840190005,1.6631578947368423e-05,512,[600],10,sigmoid,sgd,False
6,8.749929648179274,7.273800189678486,6.094985796855046,1.6631578947368423e-05,512,"[1000, 500]",10,relu,sgd,True
7,10.86212004148043,10.745958915123571,10.751589334928072,1.6631578947368423e-05,512,"[1000, 500]",10,tanh,sgd,False
8,5.62438073525062,3.14925164442796,3.1870423555374146,1.6631578947368423e-05,512,"[1000, 500]",10,sigmoid,sgd,False
9,9.719227130596456,8.334334446833683,7.470008776738093,1.6631578947368423e-05,512,"[600, 300]",10,relu,sgd,False
10,10.86356155688946,10.770688717181866,10.797469946054312,1.6631578947368423e-05,512,"[600, 300]",10,tanh,sgd,False
11,7.150842189788818,4.292755860548753,4.416317609640268,1.6631578947368423e-05,512,"[600, 300]",10,sigmoid,sgd,False
12,9.735317597022425,8.746270106388973,7.577595105538001,1.6631578947368423e-05,512,"[1000, 500, 250]",10,relu,sgd,True
13,10.898070115309496,10.799945244422323,10.84184819001418,1.6631578947368423e-05,512,"[1000, 500, 250]",10,tanh,sgd,False
14,8.077944168677696,5.437963925875151,5.587358933228713,1.6631578947368423e-05,512,"[1000, 500, 250]",10,sigmoid,sgd,False
15,10.233983700092022,9.632739947392391,9.029871867253233,1.6631578947368423e-05,512,"[600, 300, 150]",10,relu,sgd,False
16,10.81666088104248,10.765939785883976,10.754258375901442,1.6631578947368423e-05,512,"[600, 300, 150]",10,tanh,sgd,False
17,9.195685973534218,7.587587319887602,7.671089282402625,1.6631578947368423e-05,512,"[600, 300, 150]",10,sigmoid,sgd,False
18,10.608632527864897,10.212108098543608,9.767532128554125,1.6631578947368423e-05,512,"[1000, 500, 250, 100]",10,relu,sgd,False
19,10.859985645000751,10.822561264038086,10.790042070242077,1.6631578947368423e-05,512,"[1000, 500, 250, 100]",10,tanh,sgd,False
20,9.434386179997372,8.340232629042406,8.407225902263935,1.6631578947368423e-05,512,"[1000, 500, 250, 100]",10,sigmoid,sgd,False
21,10.659452511714054,10.422094271733211,10.376096468705397,1.6631578947368423e-05,512,"[600, 300, 150, 50]",10,relu,sgd,False
22,10.736415642958422,10.689806131216196,10.694853709294248,1.6631578947368423e-05,512,"[600, 300, 150, 50]",10,tanh,sgd,False
23,10.423402566176197,9.869917429410494,9.905312061309814,1.6631578947368423e-05,512,"[600, 300, 150, 50]",10,sigmoid,sgd,False
24,10.83674482198862,10.629136599027191,10.354809907766487,1.6631578947368423e-05,512,"[1000, 500, 250, 100, 50]",10,relu,sgd,False
25,10.802744425260103,10.76662907233605,10.794267287621132,1.6631578947368423e-05,512,"[1000, 500, 250, 100, 50]",10,tanh,sgd,False
26,10.280888337355394,9.719260362478405,9.74932285455557,1.6631578947368423e-05,512,"[1000, 500, 250, 100, 50]",10,sigmoid,sgd,False
27,11.033650618333082,10.9480562210083,10.956950261042667,1.6631578947368423e-05,512,"[600, 300, 150, 50, 20]",10,relu,sgd,False
28,10.827414512634276,10.797843052790714,10.82415034220769,1.6631578947368423e-05,512,"[600, 300, 150, 50, 20]",10,tanh,sgd,False
29,10.6441346682035,10.410242080688477,10.425657969254711,1.6631578947368423e-05,512,"[600, 300, 150, 50, 20]",10,sigmoid,sgd,False
30,10.955489892226,10.868900739229645,10.696736005636362,1.6631578947368423e-05,512,"[1000, 500, 250, 150, 50, 20]",10,relu,sgd,False
31,10.617642549368052,10.5550410930927,10.597044174487774,1.6631578947368423e-05,512,"[1000, 500, 250, 150, 50, 20]",10,tanh,sgd,False
32,10.91232673938458,10.64840529515193,10.666839232811562,1.6631578947368423e-05,512,"[1000, 500, 250, 150, 50, 20]",10,sigmoid,sgd,False
33,10.522653286273664,10.401763109060434,10.27227863898644,1.6631578947368423e-05,512,"[600, 300, 150, 100, 50, 20]",10,relu,sgd,False
34,10.97813892364502,10.932321034944977,10.977752208709717,1.6631578947368423e-05,512,"[600, 300, 150, 100, 50, 20]",10,tanh,sgd,False
35,10.252880903390738,10.00435550396259,10.016297083634596,1.6631578947368423e-05,512,"[600, 300, 150, 100, 50, 20]",10,sigmoid,sgd,False
36,10.90667277116042,10.784409082852877,10.74063829275278,1.6631578947368423e-05,512,"[1000, 500, 250, 150, 100, 50, 20]",10,relu,sgd,False
37,10.674387344947228,10.626078385573168,10.627970622136043,1.6631578947368423e-05,512,"[1000, 500, 250, 150, 100, 50, 20]",10,tanh,sgd,False
38,10.553512426523062,10.294650591336763,10.319809180039623,1.6631578947368423e-05,512,"[1000, 500, 250, 150, 100, 50, 20]",10,sigmoid,sgd,False
39,10.749364192669209,10.67211782015287,10.793403148651125,1.6631578947368423e-05,512,"[600, 300, 150, 100, 50, 20, 10]",10,relu,sgd,False
40,10.61929827470046,10.542612662682169,10.55030943797185,1.6631578947368423e-05,512,"[600, 300, 150, 100, 50, 20, 10]",10,tanh,sgd,False
41,10.24802985558143,10.102508691641,10.11612055851863,1.6631578947368423e-05,512,"[600, 300, 150, 100, 50, 20, 10]",10,sigmoid,sgd,False
42,2.761093355574698,3.2081342418238803,2.4526064323147696,2.1842105263157896e-05,64,[1000],10,relu,sgd,False
43,9.29261190486404,7.449938144323961,8.019581203729334,2.1842105263157896e-05,64,[1000],10,tanh,sgd,False
44,2.559405745200391,2.47523378426174,2.4674602399969325,2.1842105263157896e-05,64,[1000],10,sigmoid,sgd,False
45,2.748307382160762,3.316588374803651,2.453920910615876,2.1842105263157896e-05,64,[600],10,relu,sgd,False
46,9.625702588063366,8.571371969187036,8.009479963723482,2.1842105263157896e-05,64,[600],10,tanh,sgd,False
47,2.57569346113025,2.486209972849432,2.469629695717717,2.1842105263157896e-05,64,[600],10,sigmoid,sgd,False
48,2.836944499105777,2.603403353466178,2.454059381440212,2.1842105263157896e-05,64,"[1000, 500]",10,relu,sgd,False
49,9.88309979888628,8.384101696734158,9.185116996227856,2.1842105263157896e-05,64,"[1000, 500]",10,tanh,sgd,False
50,2.570921734818872,2.483561176174092,2.478352866262337,2.1842105263157896e-05,64,"[1000, 500]",10,sigmoid,sgd,False
51,3.602223038673401,2.972819170861874,2.7252909678248733,2.1842105263157896e-05,64,"[600, 300]",10,relu,sgd,True
52,10.029093589422835,8.593334206994975,9.363041421057472,2.1842105263157896e-05,64,"[600, 300]",10,tanh,sgd,False
53,2.582244911283817,2.476949288035339,2.49919764032946,2.1842105263157896e-05,64,"[600, 300]",10,sigmoid,sgd,False
54,4.262470863900095,3.243814272700616,2.8234694989074565,2.1842105263157896e-05,64,"[1000, 500, 250]",10,relu,sgd,True
55,10.218868579504624,9.290704646200505,9.82157379025025,2.1842105263157896e-05,64,"[1000, 500, 250]",10,tanh,sgd,False
56,2.60272032359861,2.473029851913452,2.5276152365644213,2.1842105263157896e-05,64,"[1000, 500, 250]",10,sigmoid,sgd,False
57,4.979657811938592,3.663858897281143,3.3740628851411487,2.1842105263157896e-05,64,"[600, 300, 150]",10,relu,sgd,True
